epoch,train_loss,val_loss,best_val
1,0.8204634189605713,0.5558130741119385,0.5558130741119385
2,0.5007924338181814,0.3825075030326843,0.3825075030326843
3,0.2917977074782054,0.2785138785839081,0.2785138785839081
4,0.2603423297405243,0.25333285331726074,0.25333285331726074
5,0.17855879167715707,0.19175772368907928,0.19175772368907928
6,0.16983342170715332,0.08751201629638672,0.08751201629638672
7,0.17564203341801962,0.1415024995803833,0.08751201629638672
8,0.15134749313195547,0.16374555230140686,0.08751201629638672
9,0.13006255527337393,0.21359440684318542,0.08751201629638672
10,0.1353801762064298,0.12454648315906525,0.08751201629638672
11,0.13726327319939932,0.14600858092308044,0.08751201629638672
12,0.12824476758639017,0.11177819967269897,0.08751201629638672
13,0.13119357079267502,0.08151157945394516,0.08151157945394516
14,0.11862948536872864,0.10975325107574463,0.08151157945394516
15,0.10220580796400706,0.10895226895809174,0.08151157945394516
16,0.1112702339887619,0.09842389822006226,0.08151157945394516
17,0.08913758893807729,0.055430006235837936,0.055430006235837936
18,0.12247656534115474,0.08853891491889954,0.055430006235837936
19,0.097858431438605,0.10159939527511597,0.055430006235837936
20,0.0838182270526886,0.0888729840517044,0.055430006235837936
21,0.08631773044665654,0.07226628065109253,0.055430006235837936
22,0.06797148908178012,0.06456973403692245,0.055430006235837936
23,0.07636393358310063,0.11776305735111237,0.055430006235837936
24,0.07739331324895223,0.06621883809566498,0.055430006235837936
25,0.08409993102153142,0.040154002606868744,0.040154002606868744
26,0.07580662767092387,0.07171529531478882,0.040154002606868744
27,0.06500211854775746,0.13987994194030762,0.040154002606868744
28,0.06112766514221827,0.06942473351955414,0.040154002606868744
29,0.06868688513835271,0.05971185490489006,0.040154002606868744
30,0.06590418517589569,0.05996517837047577,0.040154002606868744
31,0.06402469550569852,0.047635339200496674,0.040154002606868744
32,0.06085055197278658,0.0628005787730217,0.040154002606868744
33,0.07250471785664558,0.0517786368727684,0.040154002606868744
34,0.05451581875483195,0.06916624307632446,0.040154002606868744
35,0.05442667752504349,0.047947727143764496,0.040154002606868744
36,0.0575211818019549,0.055342406034469604,0.040154002606868744
37,0.05539012451966604,0.0423298142850399,0.040154002606868744
38,0.06249614432454109,0.05166516825556755,0.040154002606868744
39,0.06159840524196625,0.07358776032924652,0.040154002606868744
40,0.06764793892701466,0.09402726590633392,0.040154002606868744
41,0.05434337134162585,0.04039530083537102,0.040154002606868744
42,0.056393034756183624,0.05079334229230881,0.040154002606868744
43,0.04925584668914477,0.033523689955472946,0.033523689955472946
44,0.053247690200805664,0.04870104044675827,0.033523689955472946
45,0.03704084580143293,0.07671988010406494,0.033523689955472946
46,0.05374559015035629,0.06246839091181755,0.033523689955472946
47,0.04235335191090902,0.058581553399562836,0.033523689955472946
48,0.06137333313624064,0.07749661803245544,0.033523689955472946
49,0.05815355728069941,0.0736277624964714,0.033523689955472946
50,0.049490150064229965,0.08878286927938461,0.033523689955472946
